cluster,lat,lon,size,method
62,34.1680925,-118.57925500000002,40,hdbscan
179,34.222135,-118.4487775,40,hdbscan
63,33.991205,-118.4673,40,hdbscan
282,34.0495625,-118.321245,40,hdbscan
391,33.956450000000004,-118.27773750000001,40,hdbscan
55,33.993815,-118.45199500000001,40,hdbscan
509,34.043835,-118.2472925,40,hdbscan
388,34.061969999999995,-118.24674,40,hdbscan
375,34.0152025,-118.29757749999999,40,hdbscan
40,34.24887,-118.52159750000001,40,hdbscan
129,34.218515384615394,-118.44197179487175,39,hdbscan
56,34.055343589743586,-118.39415384615386,39,hdbscan
138,34.165030769230775,-118.38353846153845,39,hdbscan
139,34.17764871794871,-118.40365128205129,39,hdbscan
328,34.10159999999999,-118.32792564102562,39,hdbscan
236,33.994212820512814,-118.24182820512823,39,hdbscan
108,34.09032307692306,-118.22731025641028,39,hdbscan
124,34.209525641025635,-118.4061512820513,39,hdbscan
155,34.17372307692308,-118.4402846153846,39,hdbscan
274,34.004592307692306,-118.30886153846153,39,hdbscan
267,34.08756153846153,-118.3321564102564,39,hdbscan
513,34.04659999999998,-118.25200000000004,39,hdbscan
443,34.02791052631577,-118.2573157894737,38,hdbscan
125,34.225010526315785,-118.39540789473683,38,hdbscan
332,34.093934210526314,-118.31405789473686,38,hdbscan
322,34.045047368421045,-118.31401578947369,38,hdbscan
330,34.10369736842106,-118.31518684210523,38,hdbscan
458,33.98580526315791,-118.28770789473684,38,hdbscan
355,34.04103421052633,-118.27947105263156,38,hdbscan
182,34.14932105263158,-118.36753157894736,38,hdbscan
359,34.02614736842105,-118.30325000000003,38,hdbscan
232,33.962776315789476,-118.29967631578945,38,hdbscan
415,34.06718947368421,-118.2984236842105,38,hdbscan
289,33.984647368421044,-118.26776315789472,38,hdbscan
212,34.02079736842105,-118.40363157894735,38,hdbscan
171,34.03404324324324,-118.45069189189188,37,hdbscan
482,34.03956216216217,-118.26618648648646,37,hdbscan
211,34.0574027027027,-118.2104135135135,37,hdbscan
206,34.05849189189189,-118.19555135135134,37,hdbscan
394,34.043278378378375,-118.28551891891891,37,hdbscan
373,34.03930540540539,-118.28918108108108,37,hdbscan
38,34.234513513513505,-118.50432432432432,37,hdbscan
180,34.22696216216216,-118.45030540540537,37,hdbscan
438,34.05773243243243,-118.30724864864862,37,hdbscan
257,34.01615405405405,-118.2447810810811,37,hdbscan
252,34.00086216216217,-118.30041891891892,37,hdbscan
288,34.08821891891891,-118.29585945945945,37,hdbscan
338,34.09845405405406,-118.33358378378378,37,hdbscan
407,33.97224594594595,-118.27390000000001,37,hdbscan
300,34.039564864864865,-118.32192972972973,37,hdbscan
142,34.16666486486486,-118.39219459459461,37,hdbscan
321,34.0851054054054,-118.32713513513514,37,hdbscan
487,34.0435111111111,-118.25791388888888,36,hdbscan
185,34.19731944444444,-118.45736111111114,36,hdbscan
432,34.05592777777778,-118.30169444444444,36,hdbscan
276,33.989575,-118.30489722222222,36,hdbscan
298,34.041225,-118.31416666666668,36,hdbscan
266,34.049752777777776,-118.33244444444446,36,hdbscan
18,33.95230833333332,-118.39056388888889,36,hdbscan
85,34.160063888888885,-118.49188888888888,36,hdbscan
399,34.0002138888889,-118.28628055555555,36,hdbscan
90,34.23005555555555,-118.6026277777778,36,hdbscan
354,33.95394166666666,-118.28775555555558,36,hdbscan
377,34.08595833333333,-118.30581944444445,36,hdbscan
45,34.22105555555556,-118.57322777777777,36,hdbscan
393,33.96508,-118.2783,35,hdbscan
57,34.17276857142857,-118.55465714285715,35,hdbscan
409,34.06595714285714,-118.2462,35,hdbscan
187,34.04979142857144,-118.46659142857145,35,hdbscan
121,34.20106285714285,-118.58967999999999,35,hdbscan
163,34.22210857142856,-118.46743428571429,35,hdbscan
9,33.85309714285714,-118.29626571428572,35,hdbscan
77,34.23742285714286,-118.39550857142855,35,hdbscan
268,34.04627428571428,-118.3519485714286,35,hdbscan
78,34.214682857142854,-118.54047714285714,35,hdbscan
493,34.049777142857145,-118.24,35,hdbscan
335,34.099799999999995,-118.33018857142856,35,hdbscan
71,34.16955142857143,-118.54072,35,hdbscan
460,34.0441294117647,-118.26249999999999,34,hdbscan
386,34.07804705882353,-118.2966705882353,34,hdbscan
401,34.0652,-118.2878,34,hdbscan
297,33.937900000000006,-118.2401911764706,34,hdbscan
486,34.048947058823536,-118.25208823529412,34,hdbscan
70,34.174985294117654,-118.53376764705882,34,hdbscan
483,34.04728235294118,-118.2566205882353,34,hdbscan
435,34.05535882352941,-118.30820882352941,34,hdbscan
261,34.032805882352946,-118.36317058823529,34,hdbscan
419,34.06911176470588,-118.29472352941175,34,hdbscan
13,34.13528823529412,-118.27051176470589,34,hdbscan
222,34.02486470588235,-118.36720294117647,34,hdbscan
352,34.02208823529412,-118.30580882352942,34,hdbscan
427,34.061854545454544,-118.24397272727273,33,hdbscan
273,34.01628181818182,-118.30873333333332,33,hdbscan
83,34.114609090909084,-118.24583333333334,33,hdbscan
481,34.041818181818186,-118.26696060606061,33,hdbscan
248,33.988527272727275,-118.3305303030303,33,hdbscan
286,34.00740303030303,-118.29806666666666,33,hdbscan
217,34.04640606060605,-118.20337878787878,33,hdbscan
382,34.01472424242424,-118.27749393939395,33,hdbscan
350,34.08004545454546,-118.31179090909092,33,hdbscan
164,34.23341818181818,-118.47104242424241,33,hdbscan
296,33.95295151515152,-118.24600303030303,33,hdbscan
325,34.09335757575757,-118.31955757575759,33,hdbscan
503,34.0437,-118.2455,33,hdbscan
500,34.04263636363636,-118.24580606060606,33,hdbscan
